b: 2320
c: 2058
s: 1428
p: 884
t: 880
f: 306
k: 286
m: 238
r: 208
l: 182
g: 126
e: 84
h: 70
a: 56
d: 48
w: 42
j: 40
o: 8
i: 4
y: 2

Highest letter count: b, 2320
